Flowable,Context,Unit,UUID,VADD,WAGE,TAX,JOBS,CRHW,CMSW,CCDD
Remainder/Composite Metal,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Brown Goods,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Computer-related Electronics,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Other Small Consumer Electronics,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Video Display Devices,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
PETE Plastic Containers,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
HDPE Plastic Containers,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Miscellaneous Plastic Containers,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Plastic Trash Bags,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Plastic Grocery and Other Merchandise Bags,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Non-Bag Commercial and Industrial Packaging Film,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Film Products,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Other Film - Other,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Durable Plastic Items - Number 2 and 5 Bulky Rigids,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Durable Plastic Items - Other,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Plastic,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Food,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Leaves and Grass,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Prunings and Trimmings,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Branches and Stumps,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Manures,Waste Flows/MSW,kg,,0,0,0,0,0,0,0
Textiles,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Carpet,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Organics,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Paint,Waste Flows/MSW,kg,,0,0,0,0,1,0,0
Vehicle and Equipment Fluids,Waste Flows/MSW,kg,,0,0,0,0,1,0,0
Used Oil,Waste Flows/MSW,kg,,0,0,0,0,1,0,0
Batteries,Waste Flows/MSW,kg,,0,0,0,0,1,0,0
Remainder/Composite Household Hazardous,Waste Flows/MSW,kg,,0,0,0,0,1,0,0
Ash,Waste Flows/MSW,kg,,0,0,0,0,1,0,0
Treated Medical Waste,Waste Flows/MSW,kg,,0,0,0,0,1,0,0
Bulky Items,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Tires,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Remainder/Composite Special Waste,Waste Flows/MSW,kg,,0,0,0,0,0,0,0
Mixed Residue,Waste Flows/MSW,kg,,0,0,0,0,0,0,0
Jobs,,p,52d170d5-0399-3137-8bf5-57f5c39fd492,0,0,0,1,0,0,0
Compensation of employees,,USD,,1,1,0,0,0,0,0
"Taxes on production and imports, less subsidies",,USD,,1,0,1,0,0,0,0
Gross operating surplus,,USD,,1,0,0,0,0,0,0
"1,1,1,2-TETRACHLOROETHANE (OR) ETHANE, 1,1,1,2-TETRACHLORO-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,1,2,2-TETRACHLOROETHANE (OR) ETHANE, 1,1,2,2-TETRACHLORO-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,1,2-TRICHLOROETHANE (OR) ETHANE, 1,1,2-TRICHLORO-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,1-DICHLOROETHYLENE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,1-DICHLOROETHYLENE (OR) ETHENE, 1,1-DICHLORO-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,1-DIMETHYLHYDRAZINE (OR) HYDRAZINE, 1,1-DIMETHYL-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2,3-PROPANETRIOL, TRINITRATE (R) (OR) NITROGLYCERINE (R)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2,4,5-TETRACHLOROBENZENE (OR) BENZENE, 1,2,4,5-TETRACHLORO-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-BENZENEDICARBOXYLIC ACID, BIS(2-ETHYLHEXYL) ESTER (OR) DIETHYLHEXYL PHTHALATE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-BENZENEDICARBOXYLIC ACID, DIBUTYL ESTER (OR) DIBUTYL PHTHALATE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-BENZENEDICARBOXYLIC ACID, DIETHYL ESTER (OR) DIETHYL PHTHALATE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-BENZENEDICARBOXYLIC ACID, DIMETHYL ESTER (OR) DIMETHYL PHTHALATE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-BENZENEDICARBOXYLIC ACID, DIOCTYL ESTER (OR) DI-N-OCTYL PHTHALATE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-BENZENEDIOL, 4-[1-HYDROXY-2-(METHYLAMINO)ETHYL]-, (R)- (OR) EPINEPHRINE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-BENZISOTHIAZOL-3(2H)-ONE, 1,1-DIOXIDE, & SALTS (OR) SACCHARIN, & SALTS",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-DIBROMO-3-CHLOROPROPANE (OR) PROPANE, 1,2-DIBROMO-3-CHLORO-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-DICHLOROETHANE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-DICHLOROETHYLENE (OR) ETHENE, 1,2-DICHLORO-,(E)-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-DIPHENYLHYDRAZINE (OR) HYDRAZINE, 1,2-DIPHENYL-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-ETHANEDIAMINE, N,N-DIMETHYL-N'-2-PYRIDINYL-N'-(2-THIENYLMETHYL)- (OR) METHAPYRILENE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-OXATHIOLANE, 2,2-DIOXIDE (OR) 1,3-PROPANE SULTONE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2-PROPYLENIMINE (OR) AZIRIDINE, 2-METHYL-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,2:3,4-DIEPOXYBUTANE (I,T) (OR) 2,2'-BIOXIRANE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,3,5-TRIOXANE, 2,4,6-TRIMETHYL- (OR) PARALDEHYDE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,3-BENZENEDIOL (OR) RESORCINOL",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,3-BUTADIENE, 1,1,2,3,4,4-HEXACHLORO- (OR) HEXACHLOROBUTADIENE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,3-CYCLOPENTADIENE, 1,2,3,4,5,5-HEXACHLORO- (OR) HEXACHLOROCYCLOPENTADIENE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,3-DICHLOROPROPENE (OR) 1-PROPENE, 1,3-DICHLORO-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,3-ISOBENZOFURANDIONE (OR) PHTHALIC ANHYDRIDE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,4-DICHLORO-2-BUTENE (I,T) (OR) 2-BUTENE, 1,4-DICHLORO- (I,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,4-DICHLOROBENZENE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1,4-DIETHYLENEOXIDE (OR) 1,4-DIOXANE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1-ACETYL-2-THIOUREA (OR) ACETAMIDE, N-(AMINOTHIOXOMETHYL)-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
1-BUTANOL (I) (OR) N-BUTYL ALCOHOL (I),Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
1-NAPTHALENAMINE (OR) ALPHA-NAPHTHYLAMINE,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1-PROPANAMINE (I,T) (OR) N-PROPYLAMINE (I,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1-PROPANIMINE, N-PROPYL-(I) (OR) DIPROPYLAMINE (I)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1-PROPANOL, 2-METHYL- (I,T) (OR) ISOBUTYL ALCOHOL (I,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"1H-1,2,4-TRIAZOL-3-AMINE (OR) AMITROLE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,4,5-TP SILVEX (2,4,5-TRICHLOROPHENOXYPROPIONIC ACID)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,4,5-TRICHLOROPHENOL",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,4,6-TRICHLOROPHENOL",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,4-(1H,3H)-PYRIMIDINEDIONE, 5-[BIS(2-CHLOROETHYL)AMINO]- (OR) URACIL MUSTARD",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,4-D (2,4-DICHLOROPHENOXYACETIC ACID)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,4-D, SALTS & ESTERS (OR) ACETIC ACID, (2,4-DICHLOROPHENOXY)-, SALTS & ESTERS (OR) DICHLOROPHENOXYACETIC ACID 2,4-D",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,4-DIMETHYLPHENOL (OR) PHENOL, 2,4-DIMETHYL-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,4-DINITROPHENOL (OR) PHENOL, 2,4-DINITRO-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,4-DINITROTOLUENE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,4-DINITROTOLUENE (OR) BENZENE, 1-METHYL-2,4-DINITRO-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,5-CYCLOHEXADIENE-1,4-DIONE (OR) P-BENZOQUINONE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,5-FURANDIONE (OR) MALEIC ANHYDRIDE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,6-DICHLOROPHENOL (OR) PHENOL, 2,6-DICHLORO-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,7-NAPHTHALENEDISULFONIC ACID,3,3'-[(3,3'-DIMETHYL[1,1'-BIPHENYL]-4,4'-DIYL)BIS(AZO)BIS[5-AMINO-4-HYDROXY]-, TETRASODIUM SALT (OR) TRYPAN BLUE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2,7:3,6-DIMETHANONAPHTH[2,3-B]OXIRENE, 3,4,5,6,9,9-HEXACHLORO-1A,2,2A,3,6,6A,7,7A-OCTAHYDRO-, (1AALPHA, 2BETA, 2AALPHA, 3BETA, 6BETA, 6AALPHA, 7BETA, 7AALPHA)- (OR) DIELDRIN",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2-ACETYLAMINOFLUORENE (OR) ACETAMIDE, N-9H-FLUOREN-2-YL",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2-BUTANONE (I,T) (OR) METHYL ETHYL KETONE (MEK) (I,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2-BUTANONE, PEROXIDE (R,T) (OR) METHYL ETHYL KETONE PEROXIDE (R,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
2-BUTENAL (OR) CROTONALDEHYDE,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2-BUTENOIC ACID, 2-METHYL-, 7-[[2,3-DIHYDROXY-2-(1-METHOXYETHYL)-3-METHYL-1-OXOBUTOXY]METHYL]-2,3,5,7A-TETRAHYDRO-1H-PYRROLIZIN-1-YL ESTER, [1S-[1ALPHA(Z), 7(2S*,3R*), 7AALPHA]]- (OR) LASIOCARPINE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
2-FURANCARBOXALDEHYDE (I) (OR) FURFURAL (I),Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
2-IMIDAZOLIDINETHIONE (OR) ETHYLENETHIOUREA,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2-METHYLLACTONITRILE (OR) PROPANENITRILE, 2-HYDROXY-2-METHYL-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
2-NAPTHALENAMINE (OR) BETA-NAPHTHYLAMINE,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2-NITROPROPANE (I,T) (OR) PROPANE, 2-NITRO- (I,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2-PICOLINE (OR) PYRIDINE, 2-METHYL-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
2-PROPANONE (I) (OR) ACETONE (I),Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
2-PROPEN-1-OL (OR) ALLYL ALCOHOL,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
2-PROPENAL (OR) ACROLEIN,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
2-PROPENAMIDE (OR) ACRYLAMIDE,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
2-PROPENENITRILE (OR) ACRYLONITRILE,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2-PROPENENITRILE, 2-METHYL- (I,T) (OR) METHACRYLONITRILE (I,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
2-PROPENOIC ACID (I) (OR) ACRYLIC ACID (I),Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2-PROPENOIC ACID, 2-METHYL-, ETHYL ESTER (OR) ETHYL METHACRYLATE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2-PROPENOIC ACID, 2-METHYL-, METHYL ESTER (I,T) (OR) METHYL METHACRYLATE (I,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2-PROPENOIC ACID, ETHYL ESTER (I) (OR) ETHYL ACRYLATE (I)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
2-PROPYN-1-OL (OR) PROPARGYL ALCOHOL,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2H-1,3,2-OXAZAPHOSPHORIN-2-AMINE, N,N-BIS(2-CHLOROETHYL)TETRAHYDRO-, 2-OXIDE (OR) CYCLOPHOSPHAMIDE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2H-1-BENZOPYRAN-2-ONE, 4-HYDROXY-3-(3-OXO-1-PHENYL-BUTYL)-, & SALTS, WHEN PRESENT AT CONCENTRATIONS OF 0.3% OR LESS (OR) WARFARIN, & SALTS, WHEN PRESENT AT CONCENTRATIONS OF 0.3% OR LESS",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"2H-1-BENZOPYRAN-2-ONE, 4-HYDROXY-3-(3-OXO-1-PHENYLBUTYL)-, & SALTS, WHEN PRESENT AT CONCENTRATIONS GREATER THAN 0.3% (OR) WARFARIN, & SALTS, WHEN PRESENT AT CONCENTRATIONS GREATER THAN 0.3%",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"3(2H)-ISOXAZOLONE, 5-(AMINOMETHYL)- (OR) 5-(AMINOMETHYL)-3-ISOXAZOLOL",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"4(1H)-PYRIMIDINONE, 2,3-DIHYDRO-6-METHYL-2-THIOXO- (OR) METHYLTHIOURACIL",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"4,4'-METHYLENEBIS(2-CHLOROANILINE) (OR) BENZENAMINE, 4,4'-METHYLENEBIS[2-CHLORO-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"4,7-METHANO-1H-INDENE, 1,2,4,5,6,7,8,8-OCTACHLORO-2,3,3A,4,7,7A-HEXAHYDRO- (OR) CHLORDANE, ALPHA & GAMMA ISOMERS",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
4-AMINOPYRIDINE (OR) 4-PYRIDINAMINE,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"4-CHLORO-O-TOLUIDINE, HYDROCHLORIDE (OR) BENZENAMINE, 4-CHLORO-2-METHYL-, HYDROCHLORIDE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"4-METHYL-2-PENTANONE (I) (OR) METHYL ISOBUTYL KETONE (I) (OR) PENTANOL, 4-METHYL-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"6,9-METHANO-2,4,3-BENZODIOXATHIEPIN,6,7,8,9,10,10-HEXACHLORO-1,5,5A,6,9,9A-HEXAHYDRO-,3-OXIDE (OR) ENDOSULFAN",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"7,12-DIMETHYLBENZ[A]ANTHRACENE (OR) BENZ[A]ANTHRACENE, 7,12-DIMETHYL-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"7-BENZOFURANOL, 2,3-DIHYDRO-2,2-DIMETHYL-, METHYLCARBAMATE (OR) CARBOFURAN",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"7-OXABICYCLO[2.2.1]HEPTANE-2,3-DICARBOXYLIC ACID (OR) ENDOTHALL",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
ACETALDEHYDE (I) (OR) ETHANAL (I),Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ACETALDEHYDE, CHLORO- (OR) CHLOROACETALDEHYDE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ACETALDEHYDE, TRICHLORO- (OR) CHLORAL",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ACETAMIDE, 2-FLUORO- (OR) FLUOROACETAMIDE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ACETIC ACID, ETHYL ESTER (I) (OR) ETHYL ACETATE (I)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ACETIC ACID, LEAD(2+) SALT (OR) LEAD ACETATE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ACETIC ACID, THALLIUM(1+) SALT (OR) THALLIUM(I) ACETATE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ACETONITRILE (I,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ACETOPHENONE (OR) ETHANONE, 1-PHENYL-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ACETYL CHLORIDE (C,R,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
ACIDIC AQUEOUS WST,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ALDICARB (OR) PROPANAL, 2-METHYL-2-(METHYLTHIO)-, O-[(METHYLAMINO)CARBONYL]OXIME",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ALPHA,ALPHA-DIMETHYLBENZYLHYDROPEROXIDE (R) (OR) HYDROPEROXIDE, 1-METHYL-1-PHENYLETHYL- (R)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ALPHA,ALPHA-DIMETHYLPHENETHYLAMINE (OR) BENZENEETHANAMINE, ALPHA, ALPHA-DIMETHYL-",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ALUMINUM PHOSPHIDE (R,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
AMMONIA STILL LIME SLUDGE FROM COKING OPERATIONS.,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"AMMONIUM PICRATE (R) (OR) PHENOL, 2,4,6-TRINITRO-, AMMONIUM SALT (R)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"AMMONIUM VANADATE (OR) VANADIC ACID, AMMONIUM SALT",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ANILINE (I,T) (OR) BENZENAMINE (I,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
API SEPARATOR SLUDGE FROM THE PETROLEUM REFINING INDUSTRY.,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
AQUEOUS W/O CYANIDES,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
AQUEOUS/CYANIDES,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
ARSENIC,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
ARSENIC ACID H3ASO4,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
ARSENIC OXIDE AS2O3 (OR) ARSENIC TRIOXIDE,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
ARSENIC OXIDE AS2O5 (OR) ARSENIC PENTOXIDE,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"ARSINIC ACID, DIMETHYL- (OR) CACODYLIC ACID",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
ASH,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"AZASERINE (OR) L-SERINE, DIAZOACETATE (ESTER)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
AZIRIDINE (OR) ETHYLENEIMINE,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"AZIRINO [2',3':3,4]PYRROLO[1,2-A]INDOLE-4,7-DIONE, 6-AMINO-8-[[(AMINOCARBONYL)OXY]METHYL]-1,1A,2,8,8A,8B-HEXAHYDRO-8A-METHOXY-5-METHYL-, [1AS-(1AALPHA, 8BETA, 8AALPHA, 8BALPHA)]- (OR) MITOMYCIN C",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
BAG HOUSE DUSTS AND FILTER/SEPARATION SOLIDS FROM THE PRODUCTION OF CARBAMATES AND CARBAMOYL OXIMES.,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
BARIUM,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
BARIUM CYANIDE,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
BATTERIES,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENDIOCARB (OR) 1,3-BENZODIOXOL-4-OL, 2,2-DIMETHYL-, METHYL CARBAMATE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENOMYL (OR) CARBAMIC ACID, [1-[(BUTYLAMINO)CARBONYL]-1H-BENZIMIDAZOL-2-YL]-, METHYL ESTER",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENZAMIDE, 3,5-DICHLORO-N-(1,1-DIMETHYL-2-PROPYNYL)- (OR) PRONAMIDE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENZENAMINE, 2-METHYL- (OR) O-TOLUIDINE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENZENAMINE, 4-CHLORO- (OR) P-CHLORANILINE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENZENAMINE, 4-METHYL- (OR) P-TOLUIDINE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENZENAMINE, 4-NITRO- (OR) P-NITROANILINE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENZENAMINE, N,N-DIMETHYL-4-(PHENYLAZO)- (OR) P-DIMETHYLAMINOAZOBENZENE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
BENZENE,Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENZENE (I,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENZENE, (1-METHYLETHYL)- (I) (OR) CUMENE (I)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENZENE, (CHLOROMETHYL)- (OR) BENZYL CHLORIDE",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
"BENZENE, (TRICHLOROMETHYL)- (OR) BENZOTRICHLORIDE (C,R,T)",Waste Flows/Hazardous Waste,kg,,0,0,0,0,1,0,0
